Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t5"", 3)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.029s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t6"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.026s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t7"", 5)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.031s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t8"", 2)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.016s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t9"", 2)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.017s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t10"", 3)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.017s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t11"", 5)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.028s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t12"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.021s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.tcf.t13"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.023s,PASSED
,,,,,,,
Test Cases/Application/PostApplication,,,,2019-05-24 14:48:28,2019-05-24 14:48:29,0.420s,PASSED
"insertApplication = sendRequest(findTestObject(""Application/PostApplication""))",,,,2019-05-24 14:48:28,2019-05-24 14:48:29,0.243s,PASSED
"verifyResponseStatusCode(insertApplication, 200)",,,,2019-05-24 14:48:29,2019-05-24 14:48:29,0.003s,PASSED
,,,,,,,
Test Cases/Application/PutApplication,,,,2019-05-24 14:48:29,2019-05-24 14:48:29,0.431s,FAILED
"updateApplication = sendRequest(findTestObject(""Application/PutApplication""))",,,,2019-05-24 14:48:29,2019-05-24 14:48:29,0.165s,PASSED
"verifyResponseStatusCode(updateApplication, 200)",,,,2019-05-24 14:48:29,2019-05-24 14:48:29,0.004s,FAILED
