Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].sourceCodeUrl"", ""string"")",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.050s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].isDone"", false)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.030s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].active"", true)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.044s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.applicationCharacteristicId"", 1004)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.028s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.applicationId"", 1008)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.031s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.active"", true)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.036s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.ecf.ecfid"", 1005)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.072s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.ecf.applicationCharacteristicId"", 1004)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.027s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.tcf.tcfid"", 1003)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.075s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].application[0].applicationCharacteristic.tcf.applicationCharacteristicId"", 1004)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.036s,PASSED
,,,,,,,
Test Cases/Systems/PostSystems,,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.346s,PASSED
"insertSystems = sendRequest(findTestObject(""Systems/PostSystems""))",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.103s,PASSED
"verifyResponseStatusCode(insertSystems, 200)",,,,2019-05-24 14:52:19,2019-05-24 14:52:19,0.003s,PASSED
,,,,,,,
Test Cases/Systems/PatchActive,,,,2019-05-24 14:52:19,2019-05-24 14:52:20,0.277s,PASSED
"updateActive = sendRequest(findTestObject(""Systems/PatchActive""))",,,,2019-05-24 14:52:20,2019-05-24 14:52:20,0.111s,PASSED
"verifyResponseStatusCode(updateActive, 200)",,,,2019-05-24 14:52:20,2019-05-24 14:52:20,0.000s,PASSED
,,,,,,,
Test Cases/Systems/DeleteSystems,,,,2019-05-24 14:52:20,2019-05-24 14:52:20,0.645s,FAILED
"deleteSystems = sendRequest(findTestObject(""Systems/DeleteSystems""))",,,,2019-05-24 14:52:20,2019-05-24 14:52:20,0.190s,PASSED
"verifyResponseStatusCode(deleteSystems, 200)",,,,2019-05-24 14:52:20,2019-05-24 14:52:20,0.007s,FAILED
